,n_layer1,n_layer2,dropout_1,dropout_2,act,optim,n_batch,best_val_acc
55,128,512,0.3478921008663971,0.25858547076650634,relu,sgd,256,0.4591000080108642
56,256,32,0.11180812807699296,0.3211355697334349,leakyrelu,adam,256,0.4972000122070313
57,512,256,0.0741820251225894,0.3794395526080856,leakyrelu,rmsprop,256,0.4388000071048737
58,128,256,0.20234800668687491,0.22273433686359234,relu,adam,64,0.4158999919891357
59,64,512,0.014218105146494938,0.2948396207677361,leakyrelu,adam,128,0.5177000164985657
60,256,128,0.42131415697032704,0.19760178300395648,leakyrelu,sgd,256,0.4776999950408936
61,128,256,0.049323331807570835,0.4942410617371906,relu,adam,256,0.4560999870300293
62,32,64,0.1024311424061898,0.06535913336043855,leakyrelu,adam,256,0.4828000068664551
63,128,32,0.2492697581574732,0.11482529361080054,leakyrelu,rmsprop,256,0.44449999928474426
64,512,256,0.16724761342448682,0.03754241836449526,leakyrelu,adam,64,0.5073999762535095
65,128,512,0.16821537927652705,0.16582845092202164,leakyrelu,adam,256,0.5087000131607056
66,128,512,0.14459943994854801,0.1704491003207342,leakyrelu,adam,256,0.5412999987602234
67,128,512,0.14634244243900432,0.19099249762259374,leakyrelu,adam,256,0.5249000191688538
68,128,512,0.12707620152144442,0.0011306489661541408,leakyrelu,adam,256,0.5353999733924866
69,128,512,0.12173732196502847,0.0946280660843766,leakyrelu,adam,256,0.5217999815940857
70,128,512,0.1857604822141814,0.3314305951220539,leakyrelu,adam,256,0.508400022983551
71,128,512,0.28743481916756625,0.06669328407718594,leakyrelu,adam,256,0.5138999819755554
72,128,512,0.22521488125168695,0.4348862384383117,leakyrelu,adam,256,0.5171999931335449
73,256,512,0.20513211006835752,0.0020975413501269635,leakyrelu,adam,256,0.5224999785423279
74,128,512,0.2719422567014482,0.21971588223179775,leakyrelu,adam,256,0.5004000067710876
75,128,512,0.08481895946554846,0.23409177336664735,leakyrelu,sgd,256,0.4686000049114227
76,64,512,0.13085821373543782,0.13531234871551298,leakyrelu,adam,128,0.5245000123977661
77,128,512,0.2398014743937152,0.2732545976453425,leakyrelu,adam,256,0.4896999895572662
78,32,512,0.15629905847757408,0.25214108918216865,relu,rmsprop,256,0.3864000141620636
79,128,512,0.11265340838832855,0.02035598667812466,leakyrelu,adam,64,0.5277000069618225
80,256,512,0.17600587221315478,0.402328142745444,leakyrelu,adam,256,0.5260000228881836
81,512,128,0.3037606674127252,0.20903819879722332,leakyrelu,sgd,128,0.5008999705314636
82,128,512,0.09490274165632118,0.369050458300508,leakyrelu,adam,256,0.5218999981880188
83,128,64,0.05385886248086531,0.30357909124655114,relu,adam,256,0.4612999856472016
84,64,32,0.2571017899370674,0.11453853784788155,leakyrelu,rmsprop,256,0.4674000144004822
85,32,512,0.4925848116515753,0.18257237752885516,leakyrelu,adam,64,0.4361000061035156
86,128,512,0.07015354877290131,0.04479465150451655,leakyrelu,sgd,256,0.4657999873161316
87,128,128,0.14505853657100054,0.2826767066734009,relu,adam,128,0.4469999969005585
88,512,512,0.016978868907642372,0.14203638327672782,leakyrelu,adam,256,0.5220000147819519
89,256,64,0.21341057555594076,0.1558121156104726,leakyrelu,rmsprop,256,0.444599986076355
90,128,32,0.1962218450127035,0.09818249567275468,leakyrelu,adam,64,0.4999000132083893
91,64,512,0.1592218714814964,0.17311862294050506,leakyrelu,adam,256,0.5256000161170961
92,128,512,0.04024678818069148,0.24348618497824215,relu,sgd,128,0.5091999769210815
93,32,128,0.12243824892363993,0.0771256867404211,leakyrelu,adam,256,0.4873999953269959
94,128,512,0.38393577539537305,0.20031734608250729,leakyrelu,adam,256,0.4821000099182129
95,512,512,0.10523082704333388,0.26473066908594595,leakyrelu,rmsprop,256,0.4535000026226044
96,128,64,0.34408226133712616,0.349432723570679,relu,adam,64,0.2599000036716461
97,256,32,0.2358957634910323,0.005523273734433065,leakyrelu,adam,256,0.492000013589859
98,128,512,0.13749775934244454,0.12584411267291346,leakyrelu,sgd,128,0.4878000020980835
99,64,512,0.1803466519271961,0.3221272812364264,leakyrelu,adam,256,0.4948000013828278
100,128,128,0.06123874228351205,0.4493906464050008,leakyrelu,adam,256,0.4778999984264374
101,32,512,0.08165444249943303,0.2332439285355271,relu,rmsprop,256,0.3939000070095062
102,128,64,0.2170494250749766,0.013100248407245224,leakyrelu,adam,64,0.5145999789237976
103,512,32,0.19328551127968235,0.07348695662347163,leakyrelu,adam,256,0.4830000102519989
